freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,C,BG	130.81 	132.85 	132.6 	121.44 	135.76 	120.18 	118.51 	106.28 	105.74 	183.11 	187.94 
A,ENV,MIO_EUR,C,CH	457.82 	466.7 	569.56 	574.88 	589.7 	647.48 	654.48 	667.21 	664.05 	765.71 	713.13 p
A,ENV,MIO_EUR,C,CY	20.06 	21.3 	21.78 	21.78 	26.81 	25.72 	27.27 	27.61 	26.62 	24.17 	27.49 
A,ENV,MIO_EUR,C,CZ	551.32 	563.55 	546.96 	487.65 	617.2 	745.91 	756.53 	619.6 	759.33 	715.79 	775.16 
A,ENV,MIO_EUR,C,DE	5458.58 	5384.07 	4901.5 	4929.13 	5329.66 	5323.02 	12239.81 be	11950.4 e	13422.33 e	8091.23 e	6643.41 bep
A,ENV,MIO_EUR,C,DK	723.39 	644.99 	623.29 	613.29 	538.44 	517.06 	408.21 	448.24 	451.57 	442.43 p	332.39 p
A,ENV,MIO_EUR,C,EE	27.74 	37.87 	41.94 	47.64 	47.18 	53.83 	88.54 	73.09 	67.55 	48.37 	77.65 
A,ENV,MIO_EUR,C,EL	731.6 	652.53 	612.31 	548.97 	641.16 	657.07 	661.12 	491.31 	700.14 	755.81 	821.54 
A,ENV,MIO_EUR,C,ES	2075.06 	2126.89 	2510.26 	2649.79 	2873.82 	3023.67 	2949.12 	2840.24 	3726.18 	3669.23 	4655.99 
A,ENV,MIO_EUR,C,EU27_2020	25255.88 	26581.57 	26657.65 	27304.98 	28552.73 	28974.51 	37615.12 	35566.34 	42320.53 	36940.94 	36766.03 
A,ENV,MIO_EUR,C,FI	459.53 	404.41 	563.75 b	286.35 b	255.76 	277.98 	279.66 	253.49 	282.76 	442.23 	386.42 
